sex	age.cat	p.same.age	subpop	lcl	ucl	var
male	1	0.93	all	0.91	0.94	7.28E-05
male	2	0.81	all	0.79	0.83	0.000104129
female	1	0.76	all	0.72	0.8	0.000417184
female	2	0.91	all	0.84	0.93	0.000530849
male	1	0.95	1	0.91	0.97	0.000237455
male	2	0.79	1	0.7	0.86	0.001679085
male	1	0.93	2	0.9	0.95	0.000163774
male	2	0.81	2	0.79	0.84	0.000162569
male	1	0.91	3	0.86	0.94	0.000420255
male	2	0.81	3	0.79	0.83	0.000104129
female	1	0.69	1	0.6	0.77	0.001890069
female	2	0.91	1	0.87	0.935	0.000276893
female	1	0.76	2	0.706	0.81	0.000705741
female	2	0.9	2	0.875	0.926	0.000169612
female	1	0.81	3	0.72	0.87	0.00147631
female	2	0.93	3	0.886	0.96	0.000360808
msm	1	0.7	4	0.5	0.9	0.01078667
msm	2	0.7	4	0.5	0.9	0.01078667
