subpop	age.cat	sex	prev	var	LCL	UCL
all	both	M	0.0021	0.000000821	0.0008	0.0043
all	both	F	0.0032	0.00000117	0.0016	0.0057
all	1	M	0.0032	0.00000397	0.0012	0.0084
all	1	F	0.0062	0.00000305	0.0038	0.0103
1	both	Both	0.0083	0.00000322	0.0056	0.012
2&3	both	Both	0.0018	0.00000103	0.0005	0.0044
1	1	M	0.0059218	1.86E-05	0.0019922	0.017467
2&3	1	M	0.003523	1.37E-05	0.0008732	0.0141001
1	both	M	0.0033695	3.94E-06	0.0013323	0.0084957
2&3	both	M	0.002022	1.68E-06	0.0007522	0.0054237
1	1	F	0.0182	0.0000218	0.0107	0.0289
2&3	1	F	0.0031	0.00000241	0.0011	0.007
1	both	F	0.0092858	8.38E-06	0.0052147	0.0164825
2&3	both	F	0.0016135	2.09E-06	0.0004608	0.005634
msm	both	msm	0.023	2.10E-05	0.0151	0.03313
