parameter	distribution	param1	param2	mean	sd	sd.prior	transformation	mean.transf	ucl.transf	sd.transf.1	sd.transf	sd1
epsilon.1	beta	1.5	1.5	0.5	0.39	0.08517	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
epsilon.2	beta	1.5	1.5	0.5	0.39	0.11	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
epsilon.3	beta	1.5	1.5	0.5	0.39	0.11	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
epsilon.4	beta	1.5	1.5	1.5	0.39	0.03	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rr.screen.m3	gamma	8.5	7.5	1.1	0.39	0.47	log	0.118091191	0.693147181	0.293395913	0.343508287	-0.950452853
rr.screen.f3	gamma	8.5	7.5	1.1	0.39	0.47	log	0.118091191	0.693147181	0.293395913	0.343508287	-0.950452853
rr.screen.ac	gamma	8.5	7.5	1.1	0.39	0.47	log	0.118091191	0.693147181	0.293395913	0.343508287	-0.950452853
c.min.m.1	gamma	5.0	5.0	1.0	0.45	0.55	log	0	0.693147181	0.353646521	0.447213595	-0.804718956
c.min.m.2	gamma	5.0	5.0	1.0	0.45	0.55	log	0	0.693147181	0.353646521	0.447213595	-0.804718956
c.min.f.1	gamma	5.0	5.0	1.0	0.45	0.24	log	0	0.693147181	0.353646521	0.447213595	-0.804718956
c.min.f.2	gamma	5.0	5.0	1.0	0.45	0.24	log	0	0.693147181	0.353646521	0.447213595	-0.804718956
c.min.msm.1	gamma	5.0	5.0	1.0	0.45	0.24	log	0	0.693147181	0.353646521	0.447213595	-0.804718956
c.min.msm.2	gamma	5.0	5.0	1.0	0.45	0.24	log	0	0.693147181	0.353646521	0.447213595	-0.804718956
b.m	beta	10.8	21.4	0.5	0.47	0.15	logit	0	1.386294361	0.707293041	1.887842753	-0.11227504
b.f	beta	41.0	13.8	0.7	0.43	0.09	logit	0.96502174	2.197224577	0.628674917	2.172736327	-0.265378275
b.msm	beta	18.7	21.4	0.5	0.47	0.15	logit	0	1.386294361	0.707293041	1.887842753	-0.11227504
dur.inf.symp.m	gamma	5.480	0.416	9.0	4.99	6.63	log	2.194133385	3.044522438	0.433871966	0.556414884	1.607892316
dur.inf.symp.msm	gamma	3.5276	0.2932	9.0	4.99	6.63	log	2.194133385	3.044522438	0.433871966	0.556414884	1.607892316
dur.inf.symp.f	gamma	3.0260	0.3568	9.0	4.99	6.63	log	2.194133385	3.044522438	0.433871966	0.556414884	1.607892316
dur.inf.asymp.m	normal	244.5	54.6	227.5	70.15	70.15	log	5.427150238	5.899897354	0.241197508	0.308351648	4.250635807
dur.inf.asymp.f	normal	261.4	46.3	227.5	70.15	70.15	log	5.427150238	5.899897354	0.241197508	0.308351648	4.250635807
dur.inf.asymp.msm	normal	242.2	48.5	227.5	70.15	70.15	log	5.427150238	5.899897354	0.241197508	0.308351648	4.250635807
symp.m	beta	74.2	26.6	0.8	0.38	0.09	logit	1.303083717	3.891254125	1.320495106	2.269413339	-0.484181448
symp.f	beta	32.8	58.6	0.4	0.48	0.11	logit	-0.3944613	0.429887483	0.420586113	1.993811105	-0.081825723
symp.msm	beta	17.9	10.9	0.7	0.45	0.11	logit	0.7472745	2.196974602	0.739642909	2.048800665	-0.213370154
