year	sex	subpop	agecat	rr_diag	sd
2011	m	1	1	1.375509723	0.13755097
2012	m	1	1	1.274312385	0.12743124
2013	m	1	1	1.26825567	0.12682557
2014	m	1	1	1.235428133	0.12354281
2015	m	1	1	1.263943376	0.12639434
2016	m	1	1	1.163763052	0.11637631
2017	m	1	1	1.097933235	0.10979332
2011	m	1	2	1.742447453	0.17424475
2012	m	1	2	1.530090124	0.15300901
2013	m	1	2	1.664346991	0.1664347
2014	m	1	2	1.611545292	0.16115453
2015	m	1	2	1.61788367	0.16178837
2016	m	1	2	1.549918123	0.15499181
2017	m	1	2	1.516454618	0.15164546
2011	m	3	1	0.154376564	0.01543766
2012	m	3	1	0.292715827	0.02927158
2013	m	3	1	0.250095637	0.02500956
2014	m	3	1	0.170917933	0.01709179
2015	m	3	1	0.28926253	0.02892625
2016	m	3	1	0.217672923	0.02176729
2017	m	3	1	0.183142656	0.01831427
2011	m	3	2	0.284235497	0.02842355
2012	m	3	2	0.338485364	0.03384854
2013	m	3	2	0.435392368	0.04353924
2014	m	3	2	0.216559491	0.02165595
2015	m	3	2	0.361990443	0.03619904
2016	m	3	2	0.257458483	0.02574585
2017	m	3	2	0.271236533	0.02712365
2011	f	1	1	1.370558769	0.13705588
2012	f	1	1	1.358361861	0.13583619
2013	f	1	1	1.369486331	0.13694863
2014	f	1	1	1.375465203	0.13754652
2015	f	1	1	1.358974164	0.13589742
2016	f	1	1	1.23607811	0.12360781
2017	f	1	1	1.104813178	0.11048132
2011	f	1	2	1.514003882	0.15140039
2012	f	1	2	1.596034611	0.15960346
2013	f	1	2	1.541706289	0.15417063
2014	f	1	2	1.422842191	0.14228422
2015	f	1	2	1.429932248	0.14299322
2016	f	1	2	1.338357388	0.13383574
2017	f	1	2	1.270490485	0.12704905
2011	f	3	1	0.187215477	0.01872155
2012	f	3	1	0.113681485	0.01136815
2013	f	3	1	0.105252006	0.0105252
2014	f	3	1	0.104526504	0.01045265
2015	f	3	1	0.237994103	0.02379941
2016	f	3	1	0.260108546	0.02601085
2017	f	3	1	0.107301415	0.01073014
2011	f	3	2	0.435227953	0.0435228
2012	f	3	2	0.159477609	0.01594776
2013	f	3	2	0.292608525	0.02926085
2014	f	3	2	0.70199493	0.07019949
2015	f	3	2	0.366585452	0.03665855
2016	f	3	2	0.386133197	0.03861332
2017	f	3	2	0.140772957	0.0140773
