year	sex	subpop	agecat	rr_diag	sd
2010	m	1	1	4.51	0.46021254
2011	m	1	1	1.98	0.20204453
2012	m	1	1	2.34	0.2387799
2013	m	1	1	2.11	0.21531008
2014	m	1	1	3.56	0.36327198
2015	m	1	1	2.54	0.25918844
2016	m	1	1	1.34	0.13673721
2010	m	1	2	2.23	0.2275552
2011	m	1	2	2.59	0.26429057
2012	m	1	2	2.22	0.22653477
2013	m	1	2	2.47	0.25204545
2014	m	1	2	2.38	0.24286161
2015	m	1	2	2.76	0.28163783
2016	m	1	2	2.37	0.24184118
2010	m	3	1	0.81	0.08265458
2011	m	3	1	0.98	0.10000184
2012	m	3	1	0.89	0.090818
2013	m	3	1	1.05	0.10714483
2014	m	3	1	0.84	0.08571586
2015	m	3	1	1.05	0.10714483
2016	m	3	1	0.41	0.0418375
2010	m	3	2	1.03	0.10510397
2011	m	3	2	1.01	0.10306312
2012	m	3	2	1.05	0.10714483
2013	m	3	2	0.98	0.10000184
2014	m	3	2	1.19	0.1214308
2015	m	3	2	1.1	0.11224696
2016	m	3	2	1.1	0.11224696
2010	f	1	1	8	0.81634153
2011	f	1	1	6.8	0.6938903
2012	f	1	1	5.52	0.56327566
2013	f	1	1	7.34	0.74899335
2014	f	1	1	7.65	0.78062659
2015	f	1	1	5.81	0.59286804
2016	f	1	1	3.01	0.3071485
2010	f	1	2	8.83	0.90103696
2011	f	1	2	10	1.02042691
2012	f	1	2	6.18	0.63062383
2013	f	1	2	6.22	0.63470554
2014	f	1	2	9.59	0.97858941
2015	f	1	2	6.36	0.64899152
2016	f	1	2	6.9	0.70409457
2010	f	3	1	0.48	0.04898049
2011	f	3	1	0.47	0.04796006
2012	f	3	1	0.52	0.0530622
2013	f	3	1	0.35	0.03571494
2014	f	3	1	0.43	0.04387836
2015	f	3	1	0.42	0.04285793
2016	f	3	1	0.29	0.02959238
2010	f	3	2	0.89	0.090818
2011	f	3	2	0.4	0.04081708
2012	f	3	2	1.11	0.11326739
2013	f	3	2	0.93	0.0948997
2014	f	3	2	0.67	0.0683686
2015	f	3	2	0.81	0.08265458
2016	f	3	2	0.69	0.07040946
